id,spp,site,mean,sd,ymin,ymax
169,SBCUC,WT200,0.020408163,0.142857143,0,0.163265306
170,SBCUC,WT400,0.035087719,0.185637154,0,0.220724873
171,SBCUC,WT600,0.135135135,0.344201451,0,0.479336586
172,SBCUC,WT800,0.253112033,0.610874257,0,0.86398629
179,SBL,WT1000,0.707627119,2.629477961,0,3.337105079
180,SBL,WT1200,1.5,2.338738329,0,3.838738329
175,SBL,WT200,0.020408163,0.142857143,0,0.163265306
176,SBL,WT400,0.087719298,0.342297999,0,0.430017297
177,SBL,WT600,0.027027027,0.232495277,0,0.259522305
178,SBL,WT800,0.124481328,0.585468332,0,0.709949659
185,SCC,WT1000,1.029661017,1.347641554,0,2.377302571
186,SCC,WT1200,0.823529412,0.968303366,0,1.791832778
181,SCC,WT200,0.857142857,1.040833,0,1.897975857
182,SCC,WT400,0.754385965,0.98707182,0,1.741457784
183,SCC,WT600,0.945945946,1.280965944,0,2.22691189
184,SCC,WT800,0.900414938,1.210388984,0,2.110803922
191,SD,WT1000,0.105932203,0.393304034,0,0.499236238
192,SD,WT1200,0.029411765,0.171498585,0,0.20091035
187,SD,WT200,0,0,0,0
188,SD,WT400,0.056603774,0.233295318,0,0.289899092
189,SD,WT600,0.101449275,0.389000512,0,0.490449787
190,SD,WT800,0.114893617,0.345284921,0,0.460178538
197,SFD,WT1000,0.838983051,1.144610602,0,1.983593653
198,SFD,WT1200,0.411764706,0.891632723,0,1.303397429
193,SFD,WT200,0.714285714,1.136515141,0,1.850800856
194,SFD,WT400,0.877192982,1.150623673,0,2.027816656
195,SFD,WT600,1.310810811,1.470492189,0,2.781303
196,SFD,WT800,0.966804979,1.18626592,0,2.153070899
203,SMON,WT1000,0.622881356,1.034380153,0,1.657261509
204,SMON,WT1200,0.5,0.861640437,0,1.361640437
199,SMON,WT200,1.795918367,1.989342352,0,3.785260719
200,SMON,WT400,2.105263158,1.384663581,0.720599577,3.489926739
201,SMON,WT600,0.986486486,1.199237694,0,2.185724181
202,SMON,WT800,1.215767635,1.222667989,0,2.438435624
209,TBBB,WT1000,1.118644068,1.502732215,0,2.621376283
210,TBBB,WT1200,0.588235294,1.076403863,0,1.664639157
205,TBBB,WT200,NA,NA,NA,NA
206,TBBB,WT400,NA,NA,NA,NA
207,TBBB,WT600,0.630769231,1.206353373,0,1.837122604
208,TBBB,WT800,1.097087379,1.504559335,0,2.601646714
215,VRIF,WT1000,1.076271186,1.061165795,0.015105391,2.137436982
216,VRIF,WT1200,0.294117647,0.675520529,0,0.969638177
211,VRIF,WT200,0.87755102,0.881113241,0,1.758664262
212,VRIF,WT400,1.052631579,0.914585242,0.138046337,1.967216821
213,VRIF,WT600,1.459459459,1.112681436,0.346778024,2.572140895
214,VRIF,WT800,1.269709544,1.003055498,0.266654046,2.272765042
221,VT,WT1000,0.050847458,0.255907484,0,0.306754942
222,VT,WT1200,0,0,0,0
217,VT,WT200,0.448979592,0.958758409,0,1.407738001
218,VT,WT400,0.526315789,0.847375426,0,1.373691216
219,VT,WT600,0.162162162,0.468954741,0,0.631116903
220,VT,WT800,0.149377593,0.494226697,0,0.64360429
227,WOMP,WT1000,0.550847458,0.861443199,0,1.412290657
228,WOMP,WT1200,0.029411765,0.171498585,0,0.20091035
223,WOMP,WT200,0.387755102,0.730762345,0,1.118517447
224,WOMP,WT400,1.754716981,1.890316013,0,3.645032994
225,WOMP,WT600,1.391891892,1.577387884,0,2.969279776
226,WOMP,WT800,1.261410788,1.423802304,0,2.685213093
233,WTTC,WT1000,1.834745763,1.402968107,0.431777656,3.23771387
234,WTTC,WT1200,1.441176471,1.159706767,0.281469703,2.600883238
229,WTTC,WT200,0.020408163,0.142857143,0,0.163265306
230,WTTC,WT400,0.157894737,0.454716304,0,0.612611041
231,WTTC,WT600,1.283783784,1.419244158,0,2.703027942
232,WTTC,WT800,1.751037344,1.550621167,0.200416178,3.301658511
239,YBBB,WT1000,0.122881356,0.377203826,0,0.500085182
240,YBBB,WT1200,0.029411765,0.171498585,0,0.20091035
235,YBBB,WT200,0.510204082,0.710705312,0,1.220909394
236,YBBB,WT400,0.684210526,0.947890416,0,1.632100942
237,YBBB,WT600,0.648648649,0.942634496,0,1.591283144
238,YBBB,WT800,0.315352697,0.632564868,0,0.947917565
245,YSHE,WT1000,0.033898305,0.20346795,0,0.237366255
246,YSHE,WT1200,0.029411765,0.171498585,0,0.20091035
241,YSHE,WT200,3.844444444,1.637008851,2.207435593,5.481453296
242,YSHE,WT400,3.036363636,1.586559711,1.449803925,4.622923348
243,YSHE,WT600,0.621621622,1.331419087,0,1.953040709
244,YSHE,WT800,0.2406639,0.701312739,0,0.941976639
251,YTSW,WT1000,1.033898305,1.458254295,0,2.4921526
252,YTSW,WT1200,2.147058824,2.032051552,0.115007271,4.179110376
247,YTSW,WT200,0.12244898,0.331200661,0,0.45364964
248,YTSW,WT400,0.140350877,0.811493255,0,0.951844132
249,YTSW,WT600,0.418918919,0.860180879,0,1.279099798
250,YTSW,WT800,0.850622407,1.339499917,0,2.190122324
